,kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori,rad_main,rad_sub
20,圧,5727,1-16-21,,,32;27,5.0,5,718.0,2.0,ya1;ya4;ab;압;Áp;Yểm;Yếp;アツ;エン;オウ;お.す;へ.す;おさ.える;お.さえる,pressure;push;overwhelm;oppress;dominate,,32,27
22,扱,6271,1-16-23,,,64,8.0,6,1057.0,1.0,xi1;geub;sab;급;삽;Tráp;Hấp;ソウ;キュウ;あつか.い;あつか.う;あつか.る;こ.く,handle;entertain;thresh;strip,,64,
24,姐,59d0,1-16-25,,,38,,8,,,jie3;jeo;저;Tả;Thư;ソ;シャ;あね;ねえさん,elder sister;maidservant,,38,
25,虻,867b,1-16-26,,,142,,9,,,meng2;maeng;맹;Mang;Manh;Mông;ボウ;あぶ,gadfly;horsefly,,142,
27,絢,7d62,1-16-28,,,120,9.0,12,2315.0,1.0,xuan4;hyeon;현;Huyến;ケン,brilliant fabric design,じゅん;あや,120,
28,綾,7dbe,1-16-29,,,120,9.0,14,1759.0,1.0,ling2;reung;릉;Lăng;リン;あや,design;figured cloth;twill,りょう,120,
35,按,6309,1-16-36,,,64,9.0,9,,,an4;an;al;안;알;Án;アン;おさ.える;しら.べる,hold;consider;investigate,,64,
37,案,6848,1-16-38,,,75;40,4.0,10,206.0,2.0,an4;an;안;Án;アン;つくえ,plan;suggestion;draft;ponder;fear;proposition;idea;expectation;worry;table;bench,,75,40
40,杏,674f,1-16-41,,,75,9.0,7,2159.0,1.0,xing4;haeng;행;Hạnh;キョウ;アン;コウ;あんず,apricot,りょう,75,
41,以,4ee5,1-16-42,,,9,4.0,5,126.0,3.0,yi3;i;이;Dĩ;イ;もっ.て,by means of;because;in view of;compared with,もち,9,
42,伊,4f0a,1-16-43,,,9,9.0,6,703.0,1.0,yi1;i;이;Y;イ;かれ,Italy;that one,これ;ただ;よし;いと;だ,9,
43,位,4f4d,1-16-44,,,9,4.0,7,276.0,2.0,wei4;wi;위;Vị;イ;くらい;ぐらい,rank;grade;throne;crown;about;some,ぞき,9,
44,依,4f9d,1-16-45,,,9,8.0,8,906.0,2.0,yi1;eui;의;Y;Ỷ;イ;エ;よ.る,reliant;depend on;consequently;therefore;due to,よ;より,9,
45,偉,5049,1-16-46,,,9,8.0,12,1639.0,2.0,wei3;wi;위;Vĩ;イ;えら.い,admirable;greatness;remarkable;conceited;famous;excellent,ひで,9,
48,委,59d4,1-16-49,,,38;115,3.0,8,187.0,2.0,wei3;wei1;wi;위;Ủy;Uy;イ;ゆだ.ねる,committee;entrust to;leave to;devote;discard,まかせ,38,115
49,威,5a01,1-16-50,,,38;62,8.0,9,1103.0,1.0,wei1;wi;위;Uy;イ;おど.す;おど.し;おど.かす,intimidate;dignity;majesty;menace;threaten,いさ;たけ;たけし,38,62
51,惟,60df,1-16-52,,,61,9.0,11,2246.0,1.0,wei2;yu;유;Duy;イ;ユイ;おも.んみる;これ;おも.うに,consider;reflect;think,ただ;よし;のぶ,61,
52,意,610f,1-16-53,,,61;180,3.0,13,99.0,3.0,yi4;eui;의;Ý;イ,idea;mind;heart;taste;thought;desire;care;liking,もと;よし,61,180
53,慰,6170,1-16-54,,,61,8.0,15,1158.0,1.0,wei4;wi;위;Úy;イ;なぐさ.める;なぐさ.む,consolation;amusement;seduce;cheer;make sport of;comfort;console,,61,
55,椅,6905,1-16-56,,,75,8.0,12,2245.0,,yi3;yi1;eui;의;Y;Ỷ;イ,chair,,75,
60,維,7dad,1-16-61,,,120,8.0,14,643.0,1.0,wei2;yu;유;Duy;イ,fiber;tie;rope,これ;たもつ;つぐ;ゆい;ゆき,120,
61,緯,7def,1-16-62,,,120,8.0,16,1430.0,1.0,wei3;wi;위;Vĩ;イ;よこいと;ぬき,horizontal;woof;left & right;(parallels of) latitude;prediction,,120,
62,胃,80c3,1-16-63,,,130;102,6.0,9,1647.0,2.0,wei4;wi;위;Vị;イ,stomach;paunch;crop;craw,,130,102
63,萎,840e,1-16-64,,,140,8.0,11,,,wei1;wei3;wi;위;Nuy;イ;な;しお.れる;しな.びる;しぼ.む;な.える,wither;droop;lame,,140,
65,謂,8b02,1-16-66,,,149,9.0,16,,,wei4;wi;위;Vị;イ;い.う;いい;おも.う;いわゆる,reason;origin;history;oral tradition,,149,
66,違,9055,1-16-67,,,162,8.0,13,344.0,2.0,wei2;wi;위;Vi;イ;ちが.う;ちが.い;ちが.える;-ちが.える;たが.う;たが.える,difference;differ,,162,
67,遺,907a,1-16-68,,,162,6.0,15,647.0,1.0,yi2;wei4;yu;유;Di;Dị;イ;ユイ;のこ.す,bequeath;leave behind;reserve,,162,
71,域,57df,1-16-72,,,32,6.0,11,396.0,2.0,yu4;yeog;역;Vực;イキ,range;region;limits;stage;level,,32,
72,育,80b2,1-16-73,,,130;8,3.0,8,369.0,2.0,yu4;yug;육;Dục;イク;そだ.つ;そだ.ち;そだ.てる;はぐく.む,bring up;grow up;raise;rear,やす,130,8
77,溢,6ea2,1-16-78,,,85,9.0,13,2405.0,,yi4;il;일;Dật;イツ;こぼ.れる;あふ.れる;み.ちる,overflow;inundate;spill,,85,
78,逸,9038,1-16-79,,,162,8.0,11,1524.0,1.0,yi4;il;일;Dật;イツ;そ.れる;そ.らす;はぐ.れる,deviate;idleness;leisure;miss the mark;evade;elude;parry;diverge,いっ;はや;へん,162,
80,茨,8328,1-16-81,,,140,4.0,9,1203.0,,ci2;ja;자;Tỳ;シ;ジ;いばら;かや;くさぶき,briar;thorn,あし;えばら;ばら;まつ;まん,140,
81,芋,828b,1-16-82,,,140,8.0,6,2418.0,1.0,yu4;u;hu;우;후;Dụ;Hu;ウ;いも,potato,,140,
85,咽,54bd,1-16-86,,,30,8.0,9,,,yan1;yan4;ye4;in;yeol;인;열;Yết;Yến;Ế;イン;エン;エツ;むせ.ぶ;むせ.る;のど;の.む,throat;choked;smothered;stuffy,,30,
86,員,54e1,1-16-87,,,30,3.0,10,54.0,3.0,yuan2;yun2;yun4;weon;원;Viên;Vân;イン,employee;member;number;the one in charge,いな;かず,30,
88,姻,59fb,1-16-89,,,38,8.0,9,1985.0,1.0,yin1;in;인;Nhân;イン,matrimony;marry,,38,
91,淫,6deb,1-16-92,,,85,8.0,11,,,yin2;eum;음;Dâm;イン;ひた.す;ほしいまま;みだ.ら;みだ.れる;みだり,lewdness;licentiousness,,85,
92,胤,80e4,1-16-93,,,130;4,9.0,9,,1.0,yin4;yun;윤;Dận;イン;たね,descendent;issue;offspring,つぎ;つぐ;かず,130,4
93,蔭,852d,1-16-94,,,140,9.0,14,2166.0,,yin4;yin1;eum;음;Ấm;イン;オン;かげ,shade;shadow;backing assistance,,140,
98,吋,540b,1-17-05,,,30,,6,,,cun4;chon;du;촌;두;Thốn;Đẩu;トウ;ドウ;スン;インチ,inch,,30,
99,右,53f3,1-17-06,,,30,1.0,5,602.0,4.0,you4;u;우;Hữu;ウ;ユウ;みぎ,right,あき;すけ,30,
103,迂,8fc2,1-17-10,,,162,9.0,6,,,yu1;o;u;오;우;Vu;ウ,roundabout way,,162,
111,渦,6e26,1-17-18,,,85,8.0,12,1789.0,1.0,wo1;guo1;wa;와;Qua;Oa;カ;うず,whirlpool;eddy;vortex,,85,
112,嘘,5618,1-17-19,,,30,,14,2235.0,,xu1;shi1;heo;허;Hư;キョ;コ;うそ;ふ.く,lie;falsehood,,30,
113,唄,5504,1-17-20,,,30,8.0,10,2051.0,1.0,bai4;bei5;pae;패;Bái;バイ;うた;うた.う,song;ballad,,30,
114,欝,6b1d,1-17-21,,,75,,26,,,yu4;ram;람;Uất;ウツ;ウン;うっ.する;ふさ.ぐ;しげ.る,gloom;depression;melancholy,,75,
115,蔚,851a,1-17-22,,,140,,14,,,yu4;wei4;ul;wi;울;위;Úy;Uất;ウツ;イ;うち;おとこよもぎ,dense growth,,140,
117,姥,59e5,1-17-24,,,38,9.0,9,,,mu3;lao3;mo;모;Mỗ;Mụ;ボ;モ;うば,old woman,,38,
119,浦,6d66,1-17-26,,,85,8.0,10,977.0,1.0,pu3;po;포;Phổ;Phố;ホ;うら,bay;creek;inlet;gulf;beach;seacoast,,85,
122,噂,5642,1-17-29,,,30,9.0,15,2298.0,,zun3;jun;준;Tỗn;Tổn;Ton;Tun;ソン;うわさ,rumor;gossip;hearsay,,30,
124,運,904b,1-17-31,,,162,3.0,12,255.0,3.0,yun4;un;운;Vận;ウン;はこ.ぶ,carry;luck;destiny;fate;lot;transport;progress;advance,,162,
126,荏,834f,1-17-33,,,140,,9,2096.0,,ren3;im;임;Nhẫm;ジン;ニン,bean;perilla;herb;soft;pliable,え,140,
129,営,55b6,1-17-36,,,30,5.0,12,303.0,2.0,ying2;yeong;영;Dinh;Doanh;エイ;いとな.む;いとな.み,camp;perform;build;conduct (business),,30,
130,嬰,5b30,1-17-37,,,38,,17,,,ying1;yeong;영;Anh;エイ;ふ.れる;みどりご;あかご,sharp (music);baby,,38,
134,栄,6804,1-17-41,,,75,4.0,9,920.0,2.0,rong2;yeong;영;Vinh;エイ;ヨウ;さか.える;は.え;-ば.え;は.える;え,flourish;prosperity;honor;glory;splendor,さかえ;しげ;てる;なが;ひで;よし,75,
135,永,6c38,1-17-42,,,85;3,5.0,5,846.0,2.0,yong3;yeong;영;Vĩnh;エイ;なが.い,eternity;long;lengthy,え;と;のり;ひさ;ひさし,85,3
136,泳,6cf3,1-17-43,,,85,3.0,8,1223.0,2.0,yong3;yeong;영;Vịnh;エイ;およ.ぐ,swim,,85,
137,洩,6d29,1-17-44,,,85,,9,,,xie4;seol;ye;설;예;Duệ;Tiết;エイ;セツ;も.らす;の.びる;も.れる,leak;escape,,85,
142,英,82f1,1-17-49,,,140,4.0,8,430.0,3.0,ying1;yeong;영;Anh;エイ;はなぶさ,England;English;hero;outstanding;calyx,あ;あい;え;すぐる;はな;ひ;ひで;よし;ら,140,
144,詠,8a60,1-17-51,,,149,8.0,12,2000.0,1.0,yong3;yeong;영;Vịnh;エイ;よ.む;うた.う,recitation;poem;song;composing,うた;え;ええ,149,
145,鋭,92ed,1-17-52,,,167,8.0,15,1395.0,2.0,rui4;ye;tae;예;태;Duệ;Nhuệ;エイ;するど.い,pointed;sharpness;edge;weapon;sharp;violent,とし,167,
146,液,6db2,1-17-53,,,85,5.0,11,1210.0,2.0,ye4;yi4;aeg;액;Dịch;エキ,fluid;liquid;juice;sap;secretion,,85,
150,悦,60a6,1-17-57,,,61,8.0,10,1762.0,1.0,yue4;yeol;열;Duyệt;Dột;エツ;よろこ.ぶ;よろこ.ばす,ecstasy;joy;rapture,や;よし,61,
151,謁,8b01,1-17-58,,,149,8.0,15,,1.0,ye4;al;알;Yết;エツ,audience;audience (with king),,149,
154,榎,698e,1-17-61,,,75,9.0,14,1945.0,,jia3;ga;가;Giá;Giả;カ;えのき,lotus tree;nettle tree;hackberry,え;えの,75,
158,堰,5830,1-17-65,,,32,9.0,12,1913.0,,yan4;eon;언;Yển;エン;せき;せ.く,dam;prevent;stop up,,32,
162,怨,6028,1-17-69,,,61,8.0,9,2137.0,,yuan4;weon;원;Oán;エン;オン;ウン;うら.む;うらみ;うら.めしい,grudge;show resentment;be jealous,,61,
163,掩,63a9,1-17-70,,,64,,11,,,yan3;eom;엄;Yểm;エン;おお.う,cover;conceal,,64,
164,援,63f4,1-17-71,,,64,8.0,12,312.0,1.0,yuan2;weon;원;Viên;Viện;エン,abet;help;save,,64,
165,沿,6cbf,1-17-72,,,85,6.0,8,1121.0,1.0,yan2;yan4;yeon;연;Duyên;エン;そ.う;-ぞ.い,run alongside;follow along;run along;lie along,,85,
166,演,6f14,1-17-73,,,85,5.0,14,267.0,2.0,yan3;yeon;연;Diễn;エン,performance;act;play;render;stage,,85,
172,縁,7e01,1-17-79,,,120,8.0,15,1291.0,1.0,yuan2;yeon;dan;연;단;Duyên;エン;-ネン;ふち;ふち.どる;ゆかり;よすが;へり;えにし,affinity;relation;connection;edge;border;verge;brink,,120,
174,苑,82d1,1-17-81,,,140,9.0,8,2060.0,1.0,yuan4;weon;원;Uyển;Uất;Uẩn;エン;オン;その;う.つ,garden;farm;park,あや,140,
175,薗,8597,1-17-82,,,140,10.0,16,,,yuan2;weon;원;Viên;エン;オン;その,garden;yard;farm,ぞの,140,
176,遠,9060,1-17-83,,,162,2.0,13,887.0,3.0,yuan3;yuan4;weon;원;Viễn;Viển;エン;オン;とお.い,distant;far,お;おに;ど;どお,162,
177,鉛,925b,1-17-84,,,167,8.0,13,1710.0,1.0,qian1;yan2;yeon;연;Duyên;エン;なまり,lead,,167,
179,塩,5869,1-17-86,,,32,4.0,13,1148.0,2.0,yan2;yeom;염;Diêm;エン;しお,salt,,32,
181,汚,6c5a,1-17-88,,,85,8.0,6,908.0,2.0,wu1;o;오;Ô;Ố;Phiếm;オ;けが.す;けが.れる;けが.らわしい;よご.す;よご.れる;きたな.い,dirty;pollute;disgrace;rape;defile,,85,
187,応,5fdc,1-17-94,,,61;53,5.0,7,266.0,2.0,ying1;ying4;eung;응;Ứng;オウ;ヨウ;-ノウ;あた.る;まさに;こた.える,apply;answer;yes;OK;reply;accept,お;たか;まさ,61,53
188,押,62bc,1-18-01,,,64,8.0,8,789.0,2.0,ya1;ya2;ab;gab;압;갑;Áp;オウ;お.す;お.し-;お.っ-;お.さえる;おさ.える,push;stop;check;subdue;attach;seize;weight;shove;press;seal;do in spite of,おし;おす;おや,64,
190,横,6a2a,1-18-03,,,75,3.0,15,480.0,2.0,heng2;heng4;hoeng;횡;Hoành;Hoạnh;Quáng;Vàng;オウ;よこ,sideways;side;horizontal;width;woof;unreasonable;perverse,,75,
200,沖,6c96,1-18-13,,,85,4.0,7,929.0,1.0,chong1;chung;충;Trùng;Xung;チュウ;おき;おきつ;ちゅう.する;わく,open sea;offing;rise high into sky,,85,
201,荻,837b,1-18-14,,,140,9.0,10,1630.0,,di2;jeog;적;Địch;テキ;おぎ,reed;rush,,140,
202,億,5104,1-18-15,,,9,4.0,15,716.0,2.0,yi4;eog;억;Ức;オク,hundred million;10**8,お,9,
204,憶,61b6,1-18-17,,,61,8.0,16,1324.0,1.0,yi4;eog;억;Ức;オク,recollection;think;remember,,61,
205,臆,81c6,1-18-18,,,130,8.0,17,,,yi4;eog;억;Ức;オク;ヨク;むね;おくする,timidity;heart;mind;fear;cowardly,,130,
206,桶,6876,1-18-19,,,75,9.0,11,2210.0,,tong3;tong;yong;통;용;Dũng;ヨウ;トウ;おけ,tub;bucket,,75,
209,俺,4ffa,1-18-22,,,9,8.0,10,1946.0,,an3;eom;am;엄;암;Yêm;エン;おれ;われ,I;myself,,9,
211,恩,6069,1-18-24,,,61,6.0,10,1418.0,1.0,en1;eun;은;Ân;オン,grace;kindness;goodness;favor;mercy;blessing;benefit,めぐみ,61,
212,温,6e29,1-18-25,,,85,3.0,12,838.0,2.0,wen1;on;온;Ôn;Uẩn;Ồn;Ổn;Un;オン;あたた.か;あたた.かい;あたた.まる;あたた.める;ぬく,warm,あつ;あつし;なお;はる;ゆ;ゆたか,85,
217,仮,4eee,1-18-30,,,9,5.0,6,1039.0,2.0,jia3;jia4;ga;ban;가;반;Phản;カ;ケ;かり;かり-,sham;temporary;interim;assumed (name);informal,,9,
218,何,4f55,1-18-31,,,9,2.0,7,340.0,4.0,he2;he4;ha;하;Hà;カ;なに;なん;なに-;なん-,what,あが,9,
219,伽,4f3d,1-18-32,,,9,9.0,7,2323.0,1.0,jia1;qie2;ga;가;Già;カ;ガ;キャ;ギャ;とぎ,nursing;attending;entertainer,,9,
220,価,4fa1,1-18-33,,,9,5.0,8,250.0,2.0,jia4;jie4;ga;가;Giá;Giới;カ;ケ;あたい,value;price,,9,
221,佳,4f73,1-18-34,,,9,8.0,8,1643.0,1.0,jia1;ga;gae;가;개;Giai;カ,excellent;beautiful;good;pleasing;skilled,けい;よし,9,
223,可,53ef,1-18-36,,,30;1,5.0,5,314.0,2.0,ke3;ke4;ga;geug;가;극;Khả;Khắc;カ;コク;-べ.き;-べ.し,can;passable;approval,よし,30,1
224,嘉,5609,1-18-37,,,30;32,9.0,14,1553.0,1.0,jia1;ga;가;Gia;カ;よみ.する;よい,applaud;praise;esteem;happy;auspicious,ひろ;よし;よしみ;かず;よ,30,32
226,嫁,5ac1,1-18-39,,,38,8.0,13,1581.0,1.0,jia4;ga;가;Giá;カ;よめ;とつ.ぐ;い.く;ゆ.く,marry into;bride,,38,
231,果,679c,1-18-44,,,75;2,4.0,8,258.0,2.0,guo3;gwa;과;Quả;カ;は.たす;はた.す;-は.たす;は.てる;-は.てる;は.て,fruit;reward;carry out;achieve;complete;end;finish;succeed,み,75,2
232,架,67b6,1-18-45,,,75,8.0,9,1555.0,1.0,jia4;ga;가;Giá;カ;か.ける;か.かる,erect;frame;mount;support;shelf;construct,,75,
234,河,6cb3,1-18-47,,,85,5.0,8,663.0,2.0,he2;ha;하;Hà;カ;かわ,river,かっ;こ;こう,85,
240,箇,7b87,1-18-53,,,118,8.0,14,,1.0,ge4;gae;개;Cá;カ;コ,counter for articles,,118,
241,花,82b1,1-18-54,,,140,1.0,7,578.0,4.0,hua1;hwa;화;Hoa;カ;ケ;はな,flower,わ,140,
242,苛,82db,1-18-55,,,140,8.0,8,,,ke1;ga;가;Hà;カ;いじ.める;さいな.む;いらだ.つ;からい;こまかい,torment;scold;chastise,,140,
243,茄,8304,1-18-56,,,140,9.0,8,,1.0,qie2;jia1;ga;가;Gia;カ,eggplant,な;か;なす,140,
244,荷,8377,1-18-57,,,140,3.0,10,1230.0,2.0,he2;he4;ha;하;Hà;カ;に,baggage;shoulder-pole load;bear (a burden);shoulder (a gun);load;cargo;freight,はす;り,140,
245,華,83ef,1-18-58,,,140,8.0,10,1085.0,1.0,hua2;hua4;hua1;hwa;화;Hoa;Hóa;カ;ケ;はな,splendor;flower;petal;shine;luster;ostentatious;showy;gay;gorgeous,わ,140,
246,菓,83d3,1-18-59,,,140,8.0,11,1719.0,2.0,guo3;gwa;과;Quả;カ,candy;cakes;fruit,,140,
247,蝦,8766,1-18-60,,,142,9.0,15,2501.0,,xia1;ha2;ha;하;Hà;カ;ゲ;えび,shrimp;prawn;lobster,えみ,142,
248,課,8ab2,1-18-61,,,149,4.0,15,455.0,2.0,ke4;gwa;과;Khóa;カ,chapter;lesson;section;department;division;counter for chapters (of a book),,149,
249,嘩,5629,1-18-62,,,30,9.0,13,,,hua1;hua2;ye4;hwa;화;Hoa;カ;ケ;かまびす.しい,noisy,,30,
251,迦,8fe6,1-18-64,,,162,9.0,8,2160.0,,jia1;ga;가;Già;Ca;カ;ケ,(used phonetically),,162,
252,過,904e,1-18-65,,,162,5.0,12,285.0,2.0,guo4;guo1;gwa;과;Quá;Qua;カ;す.ぎる;す.ごす;あやま.ち;あやま.つ;よぎ.る;よ.ぎる,overdo;exceed;go beyond;error,,162,
254,蚊,868a,1-18-67,,,142,8.0,10,2121.0,1.0,wen2;mun;문;Văn;ブン;か,mosquito,,142,
255,俄,4fc4,1-18-68,,,9,9.0,9,,,e2;e4;a;아;Nga;ガ;にわか,sudden;abrupt;improvised,,9,
261,芽,82bd,1-18-74,,,140,4.0,8,1691.0,1.0,ya2;di2;a;아;Nha;ガ;め,bud;sprout;spear;germ,じ;めぐ,140,
262,蛾,86fe,1-18-75,,,142,,13,,,e2;yi3;a;아;Nga;Nghĩ;ギ;ガ;ひむし,moth,,142,
267,介,4ecb,1-18-80,,,9,8.0,4,617.0,2.0,jie4;gae;개;Giới;カイ,jammed in;shellfish;mediate;concern oneself with,すけ;ゆき,9,
268,会,4f1a,1-18-81,,,9,2.0,6,4.0,4.0,hui4;kuai4;hoe;goe;gwal;회;괴;괄;Cối;Hội;Hụi;カイ;エ;あ.う;あ.わせる;あつ.まる,meeting;meet;party;association;interview;join,あい;い,9,
271,塊,584a,1-18-84,,,32,8.0,13,1800.0,1.0,kuai4;goe;괴;Khối;カイ;ケ;かたまり;つちくれ,clod;lump;chunk;clot;mass,,32,
272,壊,58ca,1-18-85,,,32,8.0,16,727.0,1.0,huai4;pi1;koe;쾨;Hoại;カイ;エ;こわ.す;こわ.れる;やぶ.る,demolition;break;destroy,,32,
274,快,5feb,1-18-87,,,61,5.0,7,1074.0,2.0,kuai4;kwae;쾌;Khoái;カイ;こころよ.い,cheerful;pleasant;agreeable;comfortable,よし,61,
275,怪,602a,1-18-88,,,61,8.0,8,1634.0,1.0,guai4;goe;괴;Quái;カイ;ケ;あや.しい;あや.しむ,suspicious;mystery;apparition,,61,
276,悔,6094,1-18-89,,,61,8.0,9,1460.0,1.0,hui3;hoe;회;Hối;Hổi;カイ;く.いる;く.やむ;くや.しい,repent;regret,,61,
277,恢,6062,1-18-90,,,61,9.0,9,,,hui1;hoe;회;Khôi;カイ;ケ;ひろ.い,wide;large;enlarge,,61,
278,懐,61d0,1-18-91,,,61,8.0,16,1493.0,1.0,huai2;hoe;회;Hoài;カイ;エ;ふところ;なつ.かしい;なつ.かしむ;なつ.く;なつ.ける;なず.ける;いだ.く;おも.う,feelings;heart;yearn;miss someone;become attached to;bosom;breast;pocket,かね,61,
280,拐,62d0,1-18-93,,,64,8.0,8,1498.0,1.0,guai3;goe;괴;Quải;カイ,kidnap;falsify,,64,
284,械,68b0,1-19-03,,,75,4.0,11,1321.0,2.0,xie4;gye;계;Giới;カイ;かせ,contraption;fetter;machine;instrument,,75,
285,海,6d77,1-19-04,,,85,2.0,9,200.0,3.0,hai3;hae;해;Hải;カイ;うみ,sea;ocean,あ;あま;うな;うん;え;か;た;ひろ;ひろし;ぶ;まち;まま;み;め;わたる,85,
289,絵,7d75,1-19-08,,,120,2.0,12,895.0,2.0,hui4;hoe;회;Hội;Gói;Gối;カイ;エ,picture;drawing;painting;sketch,,120,
290,芥,82a5,1-19-09,,,140,9.0,7,1929.0,,jie4;gae;개;Giới;カイ;ケ;からし;ごみ;あくた,mustard;rape;dust;trash;rubbish,,140,
291,蟹,87f9,1-19-10,,,142,9.0,19,2417.0,,xie4;hae;해;Giải;カイ;かに,crab,,142,
298,咳,54b3,1-19-17,,,30,,9,,,ke2;hai1;ka3;kai4;hae;해;Khái;カイ;ガイ;せ.く;しわぶ.く;せき;しわぶき,cough;clear throat,,30,
301,慨,6168,1-19-20,,,61,8.0,13,1875.0,1.0,kai3;kai4;gae;개;Khái;ガイ;なげ.く,rue;be sad;sigh;lament,,61,
302,概,6982,1-19-21,,,75,8.0,14,1335.0,1.0,gai4;gae;개;Khái;ガイ;おおむ.ね,outline;condition;approximation;generally,,75,
303,涯,6daf,1-19-22,,,85,8.0,11,1525.0,1.0,ya2;ae;eui;애;의;Nhai;ガイ;はて,horizon;shore;limit;bound,,85,
305,蓋,84cb,1-19-24,,,140,8.0,13,2388.0,,gai4;ge3;he2;gae;hab;개;합;Cái;ガイ;カイ;コウ;ふた;けだ.し;おお.う;かさ;かこう,cover;lid;flap,,140,
307,該,8a72,1-19-26,,,149,8.0,13,1648.0,1.0,gai1;hae;해;Cai;ガイ,above-stated;the said;that specific,,149,
308,鎧,93a7,1-19-27,,,167,9.0,18,,,kai3;gae;개;Khải;カイ;ガイ;よろ.う;よろい,put on armor;arm oneself,,167,
310,浬,6d6c,1-19-29,,,85,9.0,10,,,li3;ri;리;Lí;リ;かいり;のっと,knot;nautical mile,,85,
312,蛙,86d9,1-19-31,,,142,,12,,,wa1;wa;wae;와;왜;Oa;ア;ワ;かえる;かわず,frog,,142,
313,垣,57a3,1-19-32,,,32,8.0,9,1539.0,1.0,yuan2;weon;원;Viên;エン;かき,hedge;fence;wall,がい,32,
314,柿,67ff,1-19-33,,,75,8.0,9,1745.0,,shi4;si;시;Sĩ;Thị;Sỹ;シ;かき,persimmon,,75,
315,蛎,86ce,1-19-34,,,142,,11,,,li4;roe;뢰;Lại;Lệ;Lị;Lợi;Lỵ;レイ;かき,oyster,,142,
316,鈎,920e,1-19-35,,,167,,12,,,gou1;po;포;Câu;コウ;ク;かぎ,hook;barb;gaff;brackets,,167,
318,嚇,5687,1-19-37,,,30,8.0,17,2141.0,1.0,xia4;he4;ha;hyeog;하;혁;Hách;カク;おど.す,menacing;dignity;majesty;threaten,,30,
319,各,5404,1-19-38,,,30;34,4.0,6,243.0,2.0,ge4;gag;각;Các;カク;おのおの,each;every;either,かか;かが,30,34
321,拡,62e1,1-19-40,,,64,6.0,8,611.0,2.0,kuo4;hwag;gwang;확;광;Khuếch;カク;コウ;ひろ.がる;ひろ.げる;ひろ.める,broaden;extend;expand;enlarge,,64,
322,撹,64b9,1-19-41,,,64,,15,,,jiao3;jia3;gyo;교;Giác;カク;コウ;みだ.す,disturb;throw into confusion,,64,
323,格,683c,1-19-42,,,75,5.0,10,281.0,2.0,ge2;ge1;gyeog;nag;격;낙;Cách;Các;カク;コウ;キャク;ゴウ,"status;rank;capacity;character;case (law, grammar)",いたる;のり,75,
324,核,6838,1-19-43,,,75,8.0,10,475.0,1.0,he2;hu2;haeg;핵;Hạch;カク,nucleus;core;kernel,,75,
